sentiment_label,mean_pnl,median_pnl,count,coin
Extreme Fear,46.904437527631835,0.0,10278,HYPE
Extreme Greed,28.098989355797993,0.0,5683,HYPE
Fear,30.06355240155987,0.0,27951,HYPE
Greed,24.569011680455016,0.0,6769,HYPE
Neutral,17.32280311140614,0.0,17324,HYPE
Extreme Fear,-89.5887875576037,0.0,1519,@107
Extreme Greed,191.1582114651543,0.44505,10403,@107
Fear,-2.2912565496155253,0.0,5462,@107
Greed,86.25176302214813,0.0,8398,@107
Neutral,52.15010709216152,0.0,4210,@107
Extreme Fear,1.7319208572237954,0.0,1765,BTC
Extreme Greed,41.4132639954844,0.0,2436,BTC
Fear,48.90067315663627,0.0,9870,BTC
Greed,15.949612092403314,0.0,7240,BTC
Neutral,34.92117517925521,0.0,4753,BTC
Extreme Fear,196.92766022254128,0.89,1393,ETH
Extreme Greed,-20.75892793231225,0.0,2024,ETH
Fear,236.86476378421054,0.0,2850,ETH
Greed,98.21936567263569,0.0,3574,ETH
Neutral,46.75329430372057,0.0,1317,ETH
Extreme Fear,56.00612583173589,0.0,1878,SOL
Extreme Greed,19.71559259749085,0.0,1913,SOL
Fear,189.47222430454778,0.001092,3914,SOL
Greed,284.7982433650693,0.0,1586,SOL
Neutral,216.69728189285715,0.294896,1400,SOL
Extreme Fear,-244.27275434867258,0.0,565,FARTCOIN
Extreme Greed,21.30144864467005,0.0,394,FARTCOIN
Fear,-11.368853384858044,0.0,951,FARTCOIN
Greed,18.718422684162896,0.0,2210,FARTCOIN
Neutral,-3.060023220754717,0.0,530,FARTCOIN
